"","LSOA21CD","MSOA21CD"
"879","E01008890","E02001915"
"880","E01008887","E02001904"
"881","E01009026","E02001916"
"882","E01009028","E02001916"
"883","E01034954","E02007040"
"884","E01034955","E02007040"
"885","E01034953","E02007039"
"886","E01009391","E02007040"
"887","E01009393","E02007040"
"888","E01009017","E02001923"
"889","E01009014","E02001916"
"890","E01009018","E02001916"
"891","E01009029","E02001916"
"892","E01009396","E02001908"
"893","E01009382","E02007039"
"894","E01009044","E02001923"
"895","E01009395","E02001923"
"896","E01009392","E02007039"
"897","E01009389","E02001919"
"898","E01009394","E02001919"
"899","E01009383","E02001909"
"900","E01009397","E02001903"
"901","E01009399","E02001909"
"902","E01034947","E02006896"
"903","E01009375","E02001909"
"904","E01034946","E02006896"
"905","E01009362","E02001897"
"906","E01009376","E02001910"
"907","E01009384","E02001918"
"908","E01009374","E02001910"
"909","E01034939","E02001914"
"910","E01009182","E02001918"
"911","E01009366","E02001910"
"912","E01008996","E02001900"
"913","E01034938","E02001914"
"914","E01009183","E02001914"
"915","E01009179","E02001930"
"916","E01008932","E02001937"
"917","E01009176","E02001931"
"918","E01008935","E02001937"
"919","E01008933","E02001931"
"920","E01008968","E02001936"
"921","E01009046","E02001923"
"922","E01009031","E02001931"
"923","E01008934","E02001931"
"924","E01008937","E02001941"
"925","E01008939","E02001937"
"926","E01008938","E02001937"
"927","E01008971","E02001943"
"928","E01008969","E02001943"
"929","E01008936","E02001937"
"930","E01009184","E02001918"
"931","E01009188","E02001918"
"932","E01009385","E02001918"
"933","E01009178","E02001930"
"934","E01009186","E02001914"
"935","E01008964","E02001933"
"936","E01008963","E02001933"
"937","E01009185","E02001919"
"938","E01009390","E02001919"
"939","E01009187","E02001918"
"940","E01009045","E02001923"
"941","E01009189","E02001930"
"942","E01009175","E02001930"
"943","E01008942","E02001943"
"944","E01008943","E02001943"
"945","E01008945","E02001948"
"946","E01008941","E02001941"
"947","E01008940","E02001941"
"948","E01008944","E02001941"
"949","E01008946","E02001948"
"950","E01010218","E02002101"
"951","E01008947","E02001948"
"952","E01008948","E02001948"
"953","E01008949","E02001948"
"954","E01008974","E02001944"
"955","E01008980","E02001947"
"956","E01008976","E02001947"
"957","E01008978","E02001947"
"958","E01008979","E02001947"
"959","E01009120","E02001949"
"960","E01032134","E02006700"
"961","E01032145","E02006699"
"962","E01008981","E02001936"
"963","E01008967","E02001936"
"964","E01008970","E02001936"
"965","E01008966","E02001933"
"966","E01008973","E02001944"
"967","E01008975","E02001944"
"968","E01008972","E02001944"
"969","E01009177","E02001930"
"970","E01008965","E02001933"
"971","E01034948","E02006897"
"972","E01009143","E02006897"
"973","E01008994","E02001900"
"974","E01008990","E02001890"
"975","E01034936","E02001905"
"976","E01033626","E02006895"
"977","E01033640","E02006895"
"978","E01033567","E02006896"
"979","E01008995","E02006895"
"980","E01008997","E02001900"
"981","E01033562","E02001913"
"982","E01009284","E02001922"
"983","E01008992","E02001905"
"984","E01034937","E02001905"
"985","E01008989","E02001890"
"986","E01008991","E02001890"
"987","E01008988","E02001890"
"988","E01009069","E02001901"
"989","E01009140","E02001886"
"990","E01009153","E02001879"
"991","E01009152","E02001879"
"992","E01009151","E02001879"
"993","E01009145","E02001886"
"994","E01008986","E02001890"
"995","E01033892","E02006944"
