"","Local Authority Code","Petrol2024Q4","Diesel2024Q4","Hybrid2024Q4","BEV2024Q4","PHEV2024Q4","TotalCars","Petrol","Diesel","Hybrid","BEV","PHEV","Local Authority","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles","PetrolMile","DieselMile","HybridMile","BEVMile","PHEVMile","PetrolCO2e","DieselCO2e","HybridCO2e","BEVCO2e","PHEVCO2e","BaseCO2e","pCarBaseCO2e","pCarAnnMile","pBEVAnnCO2e","pHyVAnnCO2e","reduceCO2pBEVcc","reduceCO2pHyVc"
"61","E08000015",94500,47700,8700,3252,1531,155683,0.60700269136643,0.306391834689722,0.0558827874591317,0.0208886005536892,0.00983408593102651,"Wirral",1219.52,757.77,909500000,1.105e+09,552068947.797768,278663373.650302,50825395.1940803,18998182.2035804,8944101.15426861,146149212.550503,76169846.5535736,10311456.176975,1450511.21124336,1555558.0727504,235636584.565046,1513.56657159128,5841.99944759543,446.036657823911,1185.22484792816,1067.52991376737,328.341723663121
"63","E06000011",103900,72400,10000,3968,2577,192845,0.53877466358993,0.37543104565843,0.0518551168036506,0.0205761103476886,0.0133630636003008,"East Riding of Yorkshire",3508.08,2179.82,1742300000,2351600000,938707096.372735,654113510.850683,90347170.0070004,35849757.0587778,23282465.710804,248503929.622754,178795387.055926,18329633.8510202,2737128.95143768,4049286.43642303,452415365.917561,2346.00516434214,9034.71700070004,689.800643003448,1832.96338510203,1656.2045213387,513.041779240119
"64","E06000010",56300,38700,3800,1495,789,101084,0.556962526215821,0.382849907008033,0.0375924973289541,0.014789679870207,0.00780538957698548,"Kingston upon Hull, City of",761.7,473.3,589100000,750400000,328106624.19374,225536880.218432,22145740.1764869,8712600.41153892,4598154.99980214,86859666.6228088,61648250.8389063,4492927.76700566,665207.041420996,799711.117565589,154465763.387707,1528.09310462296,5827.82636223339,444.954542756519,1182.34941236991,1083.13856186644,345.74369225305
"65","E06000012",41200,26800,3800,1202,737,73739,0.558727403409322,0.363444039110918,0.0515331100231899,0.0163007363810195,0.00999471107555025,"North East Lincolnshire",652.57,405.49,4.81e+08,6.12e+08,268747881.039884,174816582.812352,24787425.9211543,7840654.1992704,4807456.02733967,71145626.5476885,47784364.7459282,5028872.97088379,598633.948114295,836112.752274915,125393610.96489,1700.50598685756,6523.00682135641,498.031570810562,1323.38762391679,1202.474416047,377.118362940774
"66","E06000013",44200,40100,4100,1650,1112,91162,0.484851144117066,0.439876264232904,0.0449748798841623,0.0180996467826507,0.0121980649832167,"North Lincolnshire",1430.42,888.82,774900000,1126300000,375711151.576315,340860117.154077,34851034.4222373,14025416.291876,9452280.55549461,99462013.1567978,93170704.4228955,7070577.86358351,1070840.53388473,1643940.63421162,202418076.611373,2220.42162975114,8500.25229810667,648.994262960444,1724.53118623988,1571.42736679069,495.890443511257
"67","E06000014",49900,26500,5600,2121,1240,85361,0.584576094469371,0.310446222513794,0.0656037300406509,0.0248474127528965,0.014526540223287,"York",816.41,507.29,657900000,827100000,384592612.551399,204242569.791825,43160693.9937442,16347112.8501306,9557010.81290051,101813202.320732,55827664.0268975,8756441.59745083,1248102.06610747,1662155.32057966,169307565.331767,1983.42996604735,7707.26678459718,588.449819003995,1563.65028525908,1394.98014704335,419.77968078827
"68","E06000065",184800,126700,19800,9095,6095,346490,0.533348725792952,0.365667118820168,0.0571445063349592,0.0262489537937603,0.0175906952581604,"North Yorkshire",8753.27,5439.03,3989300000,5460700000,2127688071.80582,1458755837.1093,227966579.122053,104714951.369448,70174560.5933793,563262863.249156,398736320.515455,46249859.572282,7994986.53705735,12204759.5784005,1028448789.45235,2968.19183656772,11513.4635920229,879.052945250945,2335.8514935496,2089.13889131678,632.340343018127
"77","E08000016",61800,49400,6100,2492,1253,121045,0.510553926225784,0.408112685364947,0.0503944813912181,0.0205873848568714,0.0103515221611797,"Barnsley",1202.99,747.5,987100000,1310100000,503967780.577471,402848031.723739,49744392.5812714,20321807.5922178,10217987.5253005,133415390.552274,110114480.991367,10092142.3668883,1551570.00966583,1777112.39040026,256950696.310595,2122.77001371883,8154.81845594614,622.620389111487,1654.44956834235,1500.14962460734,468.320445376474
"78","E08000017",72800,67400,9200,4888,2478,156766,0.464386410318564,0.429940165597132,0.0586861947105878,0.0311802304071036,0.0158069989666127,"Doncaster",1695.29,1053.4,1555600000,2177500000,722399499.891558,668814921.602899,91292244.4917903,48503966.4212903,24589367.5924626,191240819.606292,182813870.670936,18521370.5624944,3703277.83626552,4276582.8116811,400555921.48767,2555.11986966351,9923.07005345547,757.626398581325,2013.19245244505,1797.49347108218,541.927417218463
"79","E08000018",67000,54100,7000,2696,1376,132172,0.506915231667827,0.40931513482432,0.0529612928608177,0.0203976636503949,0.0104106769966407,"Rotherham",1196.98,743.77,1148700000,1547100000,582293526.616833,470180295.372696,60836637.1092213,23430796.2352087,11958744.6660412,154150565.301274,128519081.937173,12342536.9367188,1788941.29255818,2079864.87231789,298880990.340042,2261.30337999003,8690.94815846019,663.553891898435,1763.2195623884,1597.74948809159,498.083817601624
"80","E08000019",128300,80600,14900,5706,4200,233706,0.54898034282389,0.344877752389755,0.063755316508776,0.0244152910066494,0.0179712972709301,"Sheffield",1971.98,1225.33,1387200000,1765200000,761545531.5653,478414418.115068,88441375.060974,33868891.684424,24929783.5742343,201603948.571282,130769797.047573,17942986.1723704,2585889.88010577,4335787.95923083,357238409.630562,1528.58039430122,5935.66275577007,453.187851403045,1204.22725989063,1075.39254289818,324.353134410591
