Local.Authority.Code,Petrol2024Q2,Diesel2024Q2,Hybrid2024Q2,BEV2024Q2,PHEV2024Q2,TotalCars,Petrol,Diesel,Hybrid,BEV,PHEV,Local.Authority,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles,PetrolMile,DieselMile,HybridMile,BEVMile,PHEVMile,PetrolCO2e,DieselCO2e,HybridCO2e,BEVCO2e,PHEVCO2e,BaseCO2e,pCarBaseCO2e,pCarAnnMile,pBEVAnnCO2e,pHyVAnnCO2e,reduceCO2pBEVcc,reduceCO2pHyVc
E06000011,105100,74000,8600,3196,2182,193078,0.544339593,0.383264795,0.044541584,0.016552896,0.011301132,East Riding of Yorkshire,3495.82,2172.2,1701300000,2301300000,926084950.1,652048394.9,75778597.25,28161441.49,19226616.19,245162468.8,178230908.3,15373961.81,2150126.058,3343893.087,444261358.1,2300.942407,8811.464797,672.7553372,1787.669978,1628.18707,513.2724292
E06000010,56600,39000,3200,1113,677,100590,0.562680187,0.387712496,0.031812307,0.011064718,0.006730291,"Kingston upon Hull, City of",759.57,471.97,578600000,736700000,325566756.1,224330450.3,18406601.05,6402045.929,3894146.535,86187287.35,61318485.3,3734331.222,488796.2067,677269.9654,152406170,1515.122478,5752.062829,439.169997,1166.978507,1075.952481,348.143971
E06000012,41500,27100,3400,982,630,73612,0.563766777,0.368146498,0.046188122,0.013340216,0.008558387,North East Lincolnshire,647.9,402.59,473600000,602700000,266999945.7,174354181.4,21874694.34,6317926.425,4053252.187,70682895.61,47657971.94,4437937.988,482373.6826,704941.6204,123966120.8,1684.047721,6433.73363,491.2155627,1305.275879,1192.832158,378.7718422
E06000013,44700,40600,3600,1326,931,91157,0.490362781,0.445385434,0.039492304,0.014546332,0.010213149,North Lincolnshire,1428.34,887.53,779400000,1139900000,382188751.3,347133407.2,30780302.12,11337411.28,7960128.131,101176828.1,94885445.52,6244707.693,865611.3512,1384425.484,204557018.2,2244.007791,8550.083921,652.7989074,1734.641026,1591.208883,509.3667648
E06000014,50500,27200,4800,1820,1023,85343,0.591729843,0.318713896,0.056243629,0.021325709,0.011986923,York,813.89,505.73,654900000,823300000,387523874.2,208725730.3,36833952.4,13966206.95,7850236.106,102589195.2,57053091.12,7472872.264,1066319.901,1365313.064,169546791.6,1986.651413,7673.740084,585.8900554,1556.848388,1400.761358,429.8030251
E10000023,187100,129800,17000,7570,5169,346639,0.539754615,0.374452961,0.049042375,0.021838281,0.014911767,North Yorkshire,8732.13,5425.89,3929400000,5384700000,2120911784,1471375466,192707110.3,85811342.64,58594297.24,561468976.7,402185769.8,39096418.53,6551696.01,10190720.18,1019493581,2941.08159,11335.71237,865.4816394,2299.789325,2075.59995,641.2922641
E08000016,62200,50500,5300,1935,1043,120978,0.514143067,0.417431268,0.043809618,0.015994644,0.008621402,Barnsley,1199.75,745.49,9.48E+08,1.26E+09,487407627.8,395724842.5,41531518.13,15162922.18,8173089.322,129031421.3,108167428.5,8425914.398,1157689.109,1421463.695,248203917,2051.645067,7836.135496,598.2889451,1589.795169,1453.356122,461.8498981
E08000017,73100,68300,7500,4157,2226,155283,0.470753399,0.439842095,0.048298912,0.026770477,0.014335117,Doncaster,1690.01,1050.12,1536500000,2151300000,723312597,675817378.6,74211278.76,41132838.11,22025907.54,191482543.8,184727922.3,15055984.24,3140492.19,3830745.839,398237688.3,2564.592958,9894.837168,755.4708178,2007.464565,1809.12214,557.1283935
E08000018,67300,55200,6000,2100,1136,131736,0.510870225,0.419019858,0.045545637,0.015940973,0.008623307,Rotherham,1191.67,740.47,1159800000,1576200000,592507287.3,485979231.2,52823829.48,18488340.32,10001311.71,156854454.2,132837563.1,10716898.52,1411584.783,1739428.133,303559928.7,2304.305039,8803.97158,672.1832301,1786.149754,1632.121809,518.1552853
E08000019,129400,82100,13000,4793,3864,233157,0.554990843,0.352123247,0.055756422,0.020556964,0.016572524,Sheffield,1971.13,1224.8,1366800000,1741900000,758561484.3,481282054.6,76207877.1,28097258.07,22651325.93,200813981.7,131553636.8,15461054.11,2145225.654,3939518.606,353913416.9,1517.9189,5862.144392,447.5747243,1189.311854,1070.344175,328.6070455
E08000032,114600,86200,16300,3421,2592,223113,0.51364107,0.386351311,0.07305715,0.015333038,0.011617432,Bradford,1823.72,1133.21,1193200000,1477400000,612876524.5,460994384,87171791.87,18295380.37,13861919.3,162246802.3,126008204.9,17685413.14,1396852.291,2410865.004,309748137.7,1388.301613,5347.962692,408.3169515,1084.994671,979.984661,303.3069417
E08000033,55100,33300,4600,1585,1189,95774,0.575312715,0.347693529,0.048029737,0.016549377,0.012414643,Calderdale,1152.15,715.91,709700000,943400000,408299434.1,246758097.2,34086704.12,11745092.61,8810671.999,108089109.2,67448858.29,6915510.531,896737.8211,1532352.074,184882567.9,1930.404576,7410.153069,565.7651868,1503.371855,1364.63939,427.0327218
E08000034,113400,72400,11200,3309,2392,202701,0.559444699,0.357176334,0.055253797,0.016324537,0.011800632,Kirklees,1922.79,1194.77,1290300000,1.71E+09,721851495.6,460864623.3,71293974.87,21063550.25,15226356.06,191095746.4,125972736.1,14464121.62,1608202.062,2648167.846,335788974.1,1656.572854,6365.53347,486.0084805,1291.43943,1170.564373,365.1334235
E08000035,218400,116900,36500,40217,20813,432830,0.504586096,0.270082942,0.08432872,0.092916387,0.048085854,Leeds,2938.5,1825.9,3202900000,4162400000,1616138807,865048656.5,270096458.2,297601897.5,154014180.4,427840426.5,236452399.8,54797169.44,22721904.88,26786146.25,768598046.8,1775.750403,7399.902964,564.9825913,1501.292313,1210.767811,274.4580894
E08000036,92900,68800,7600,2851,1798,173949,0.534064582,0.395518227,0.043690967,0.016389861,0.010336363,Wakefield,1492.45,927.37,1382800000,1868700000,738504504.2,546922603.8,60415869.02,22663900.34,14293122.7,195504297.4,149495824.5,12257171.51,1730388.791,2485859.899,361473542.1,2078.043232,7949.45645,606.9409999,1612.785725,1471.102232,465.2575071
E06000015,63200,43600,6200,2979,2555,118534,0.533180353,0.367826953,0.052305668,0.02513203,0.021554997,Derby,780.99,485.28,1006200000,1195800000,536486071.5,370107479.7,52629962.71,25287848.21,21688637.86,142023957.7,101165178.5,10677566.83,1930727.211,3772087.896,259569518.2,2189.831763,8488.703663,648.1125247,1722.188199,1541.719238,467.6435635
E06000016,90800,51100,13900,2954,5373,164127,0.553230121,0.311344264,0.084690514,0.017998257,0.032736844,Leicester,834.73,518.68,839200000,1011900000,464270717.2,261280106.3,71072279.39,15104137.65,27472759.51,122906387,71418304.24,14419144.04,1153200.91,4778062.334,214675098.5,1307.981615,5113.113625,390.3862253,1037.348492,917.5953895,270.6331225
E06000061,107600,76700,8400,4953,3890,201543,0.533881107,0.380563949,0.041678451,0.024575401,0.019301092,North Northamptonshire,1887.91,1173.09,1699800000,2253900000,907491106.1,646882600.7,70845030.59,41773266.25,32807996.31,240240120.5,176818890.1,14373039.81,3189388.878,5705966.718,440327406,2184.781441,8433.932213,643.9307245,1711.076167,1540.850717,473.7052739
E06000018,55600,37400,6900,1791,1014,102705,0.541356312,0.364149749,0.067182708,0.017438294,0.009872937,Nottingham,798.62,496.24,845900000,1050800000,457933304.1,308034272.9,56829852.49,14751053.02,8351517.453,121228683.6,84198088.16,11529640.47,1126242.898,1452495.915,219535151,2137.531289,8236.210506,628.8346721,1670.962387,1508.696617,466.5689017
E06000017,12900,8500,1000,522,414,23336,0.552793966,0.364244086,0.042852245,0.022368872,0.01774083,Rutland,559.61,347.73,3.09E+08,425900000,170813335.6,112551422.7,13241343.85,6911981.488,5481916.352,45219414.34,30764805.88,2686403.84,527729.7866,953414.892,80151768.74,3434.683268,13241.34385,1010.976603,2686.40384,2423.706665,748.2794282
E06000062,126000,86400,11600,4609,2892,231501,0.544274107,0.37321653,0.050107775,0.019909201,0.012492387,West Northamptonshire,2623.21,1629.99,2672100000,3710900000,1454354841,997271890.8,133892985.3,53199376.68,33380906.35,385011357,272594298.6,27164208.87,4061772.409,5805607.232,694637244.2,3000.579886,11542.49874,881.2697785,2341.742144,2119.310107,658.8377422
E10000007,245200,163800,21400,8866,5637,444903,0.55113137,0.36817014,0.048100372,0.019927939,0.012670178,Derbyshire,5673.39,3525.28,4100500000,5418700000,2259914184,1509681661,197235577.2,81714515.3,51954063.02,598267081.8,412656385.2,40015153.9,6238903.243,9035850.641,1066213375,2396.507497,9216.615757,703.688613,1869.867005,1692.818884,526.640492
E10000018,226900,151500,17700,9300,6735,412135,0.550547757,0.367597996,0.042947093,0.022565422,0.016341733,Leicestershire,4707.37,2925.02,3839200000,5218400000,2113662950,1411282225,164882477.8,86633166.32,62739180.12,559549992.8,385759883.5,33451357.1,6614442.248,10911598.21,996287273.9,2417.380892,9315.394228,711.2303493,1889.907181,1706.150543,527.473711
E10000019,219300,172500,18000,6756,4297,420853,0.521084559,0.409881835,0.042770278,0.016053111,0.010210216,Lincolnshire,8943.8,5557.42,3.14E+09,4272200000,1636205516,1287028963,134298674.4,50406769.11,32060077.98,433152686.2,351796496.6,27246515.05,3848556.822,5575888.763,821620143.5,1952.273462,7461.037464,569.6502104,1513.695281,1382.623252,438.5781817
